customer_id,name,age,address,phone,email,income,credit_score,employment_status,risk_category,customer_since,active_loans
62,Linda Moreno,67,"225 Webb Ports, Port Rebeccaberg, DE 93073",+1-222-107-9789x04614,masonamy@hendrix-wilson.biz,42010,534,Unemployed,Medium,6/29/2015,3
63,Richard Padilla,47,"4000 Andrea Spring, North Stacybury, MD 99695",(855)750-8761x7214,lisa06@hotmail.com,49914,817,Employed,Medium,10/11/2023,2
64,Brent Adams,58,"USNV Mcdowell, FPO AA 19120",177.668.3191,glove@horn.com,89893,760,Unemployed,Medium,10/20/2022,2
65,Colleen Rivers,51,"66572 Johnson Cliff Apt. 175, Valentinehaven, CA 91672",388.068.6531x5514,tinasmith@lam.biz,134947,493,Employed,High,4/15/2019,4
66,John Perez,61,"1780 Stewart Ramp, New Natasha, AK 83808",001-479-251-6100x3569,twilson@king.com,42763,524,Unemployed,Medium,2/18/2020,5
67,Jessica Kelly,45,"984 Ryan Rest Apt. 300, West Thomas, DE 69773",001-809-946-8991,debrahall@hotmail.com,133604,819,Unemployed,Low,12/04/2015,2
68,Ryan Douglas,26,"98106 Jennifer Shoal Apt. 675, Port Vanessaport, NJ 87292",722-798-6240x49557,hernandezlori@smith-williams.com,83890,653,Employed,Medium,07/02/2024,1
69,Anne Ellison,25,"781 Danielle Summit Apt. 155, East Emilyport, GA 35793",(100)056-1594x65114,samantha33@peterson.com,65399,830,Employed,Low,06/02/2018,2
70,Travis Hammond,69,"3725 Anna Island Apt. 366, Lambton, MO 09810",782-409-4964x7869,dlawrence@valdez.info,21467,667,Self-Employed,Low,9/22/2015,2
71,Ryan Francis,41,"43326 Silva Isle Apt. 599, North Elizabethtown, NE 44730",001-311-954-3989x5562,darnold@davis.net,35903,720,Self-Employed,High,07/06/2023,5
72,Jacob Myers,19,"8999 West Parkways Apt. 741, Petersenbury, ID 84137",(054)970-6400x205,anewman@lamb.com,134039,300,Self-Employed,Medium,6/27/2020,3
73,John Lewis,54,"098 Rebecca Crescent, Stacyborough, NH 53586",(154)227-2040x943,karen18@shaw.com,76893,506,Self-Employed,Medium,11/09/2024,1
74,Jessica Pope,49,"5889 Kendra Neck Apt. 370, North Emily, MD 77795",001-935-586-5056x4936,stacielogan@yahoo.com,128727,569,Unemployed,Low,9/14/2021,5
75,Daniel Brown III,38,"539 Sandra Tunnel, New Elizabethhaven, AR 59788",(108)287-9984x1752,reynoldsstephanie@landry.com,34433,422,Unemployed,Medium,09/08/2019,2
76,Holly Ramirez,36,"511 Ramsey Ports Apt. 534, New Christina, SC 85802",001-513-349-2140x438,roselarry@green.com,135283,334,Self-Employed,Low,09/04/2015,0
77,Michael Garza,37,"39508 Reed Ferry, Bowenton, NH 67480",015.180.8081x2461,rthompson@mendoza-roberts.biz,82668,812,Self-Employed,Low,06/01/2020,0
78,Richard Weeks,19,"692 Pena Glens Apt. 294, South Michaelchester, CA 18662",3757686994,mmccullough@hotmail.com,43434,654,Self-Employed,High,08/03/2017,2
79,Mr. Henry Duffy,68,"289 Kevin River Apt. 283, Keithfurt, MT 19915",363719707,lwallace@wang.com,39557,445,Self-Employed,Low,10/21/2023,3
80,George Kelly,29,"434 Barbara Plains Apt. 606, North Mark, AZ 01939",+1-247-419-8433x6628,pdonovan@gmail.com,99087,306,Unemployed,Medium,9/23/2018,4
81,Karl Washington,55,"0032 Jason Divide Apt. 672, Jenniferberg, MI 38979",001-542-571-1978x718,ruthgilbert@hotmail.com,30745,739,Self-Employed,Low,08/11/2024,0
82,Anthony Cortez,46,"44485 Catherine Row Apt. 528, New David, VA 72149",600-171-2511,angelicarobinson@harris.com,55148,325,Self-Employed,Low,10/14/2023,1
83,Kenneth White,49,"4281 Barnes Rue, Grossfort, CT 38075",486.402.9394x23887,williamcortez@peterson-barry.net,104962,768,Self-Employed,High,10/06/2015,4
84,Crystal Huff,30,"2490 Brown Pass Suite 141, East Ryan, KS 40871",145.804.3561x787,wolfetiffany@gmail.com,52403,556,Employed,Medium,8/18/2018,4
85,Megan Leonard,47,"605 Alan Knolls Apt. 594, Dillonfort, MT 63714",(814)748-9792x1687,katherine81@yahoo.com,125218,749,Unemployed,Medium,3/30/2017,2
86,Brett Hartman,57,"0858 Erik Islands, Lake Lori, WV 51962",(398)172-8121x2669,kevin55@gmail.com,71349,597,Employed,Medium,4/21/2019,0
87,Margaret Lewis,52,"5903 Edward Way Apt. 495, Steventown, VT 15326",(223)104-5937,fmcknight@gmail.com,93492,613,Employed,Medium,8/19/2024,3
88,Melissa Roberts,46,"1927 Steven Center, Port Tamaraport, NE 01410",-9210,kylewinters@yahoo.com,63010,804,Self-Employed,Medium,6/23/2016,4
89,Alexander Terry,70,"PSC 1756, Box 2386, APO AE 78904",854-362-6096x8455,qnicholson@smith.com,70041,617,Employed,Low,6/23/2017,2
90,Marie Koch,20,"37695 Stephanie Track, Walkerport, MO 76461",613.485.8909,bergalicia@daniels-perez.com,37550,490,Self-Employed,Low,02/08/2023,2
91,William Wagner,70,"721 Raymond Heights Apt. 802, New Colleen, MO 74572",+1-582-817-7442x159,francotodd@hodges.org,114593,636,Unemployed,High,8/30/2020,0
92,Andrew Mann,69,"599 Douglas Isle Suite 060, Daniellestad, OK 05756",001-565-723-7000,patriciahall@sutton.com,34170,396,Self-Employed,Medium,05/02/2020,2
93,Diana Miller,57,"7933 Kyle Parks Apt. 116, West Christinashire, IN 28924",950-336-8713,kentjonathan@schwartz-sherman.com,102106,658,Self-Employed,Low,09/05/2018,5
94,Cheryl Potter,35,"421 Amy Glen, East Saratown, TX 48300",6521391472,tcummings@hotmail.com,68734,768,Unemployed,Low,8/26/2018,1
95,Keith Moore,51,"4246 David Expressway Apt. 789, North Susan, NJ 69948",384.716.7739x146,cooperisaiah@yahoo.com,27316,717,Employed,High,11/18/2023,3
96,Jennifer Sparks,59,"159 Duran Springs, Lake Matthewland, IA 68615",929-763-4925x7297,lcosta@gmail.com,58887,517,Self-Employed,Medium,08/07/2022,2
97,Jeffrey Potter,57,"573 Bean Track Suite 382, Stacyfurt, NY 93431",522-813-0555,edwardsandrew@yahoo.com,130028,593,Unemployed,Medium,2/21/2015,1
98,Joseph Carter,64,"USNS Gonzalez, FPO AP 07497",983-469-6162x09297,theresa86@chen.com,70369,505,Unemployed,Low,6/16/2015,5
99,James Washington,70,"461 Daniel Brook, Cervantesland, MD 26683",925.574.2008x05133,robleschristopher@bell.net,96559,649,Employed,Medium,12/02/2014,4
100,Jasmine Chavez,36,"PSC 0616, Box 7919, APO AA 51397",704.155.5444x890,rsimmons@green.com,98779,510,Unemployed,Medium,08/09/2018,3
101,Michael Acevedo,58,"75547 Kelly Divide, East Robertburgh, MI 26626",(479)256-5417,zarmstrong@yahoo.com,24901,541,Employed,High,7/13/2022,3
102,Stacey Walsh,55,"64938 Rebecca Views Suite 823, Heidishire, AZ 79562",+1-471-140-8118x9814,collinsrodney@church.com,103275,505,Employed,High,3/21/2024,0
103,Benjamin Mcintosh,69,"531 Guerrero Fields Suite 331, Wilsonfurt, IA 69954",(878)669-2250x55278,osbornejohn@ponce.com,82547,786,Employed,High,12/20/2019,4
104,Joshua Guzman,68,"0010 Benjamin Stravenue Apt. 496, Richardside, PA 40011",001-284-864-6726x3685,cheryl47@hotmail.com,54614,763,Self-Employed,Low,05/06/2021,3
105,Amy Cunningham,34,"889 Clay Dale Apt. 076, North Nancyborough, DC 47097",1007864772,kevinramos@hotmail.com,59128,579,Self-Employed,Low,06/09/2024,3
106,Megan Smith,47,"518 Samantha Crossing Apt. 525, Charlenefort, IA 28629",811.701.9930x942,david94@hotmail.com,108313,401,Self-Employed,High,9/23/2024,5
107,Luis Hall,45,"13847 Webster Pines Apt. 922, Michellefort, CA 41710",105-085-6344x476,rachelwilliams@gmail.com,28474,452,Unemployed,Medium,02/04/2018,3
108,Holly Wilson,36,"594 David Mount Suite 312, Lake Jamestown, WV 22786",258.260.9712,vhale@hotmail.com,79211,309,Employed,High,02/04/2023,0
109,Derrick Smith,47,"98827 Elizabeth Village, Lake Juliaville, CT 76409",(063)384-1139x19179,istevens@hall-guzman.com,121221,788,Unemployed,Low,08/03/2023,2
110,Amanda Robbins,28,"570 Maria Greens, South Anthony, TN 62828",001-037-249-5495x54256,vvargas@young-cross.com,128819,793,Employed,High,07/12/2019,3
111,Andrew Patel,55,"Unit 2797 Box 1867, DPO AP 14427",851.581.7164x48363,catherinestrickland@hotmail.com,106138,613,Unemployed,High,8/22/2015,4
112,Michael Carpenter,70,"2037 Nixon Terrace, Kimberlyland, NH 74285",(887)716-5360x4095,bairdrobert@goodwin.com,140303,666,Employed,Medium,7/28/2018,4
113,Eric Murphy,58,"9224 James Ville, Liland, MS 43837",+1-364-332-7482x7363,jessicarivera@gmail.com,97826,757,Employed,Low,10/08/2017,3
114,Norma Baker,51,"3552 Dwayne Forks Suite 012, Johnsonville, CO 90176",(525)025-4739x5464,melissa26@turner.com,47238,849,Self-Employed,High,04/02/2022,5
115,Bobby Huff,61,"1990 Brock Throughway Apt. 520, Vanessaberg, NV 60269",660-607-4190,xwhitaker@yahoo.com,110547,460,Employed,Medium,11/21/2018,4
116,Christine Hicks,31,"85504 Ariana Unions, Lucasmouth, IN 94390",(425)623-9695x61161,griffinmanuel@carney-martinez.com,71853,795,Employed,High,12/07/2021,2
117,Barry Werner,53,"983 Burke Island Apt. 468, Robinsonview, MS 37766",(997)400-0801,rebecca55@yahoo.com,117731,682,Employed,High,09/12/2019,2
118,Dalton Nguyen,30,"4796 Martinez Vista, New Jessefurt, CA 05840",647.462.3041x6332,stephanie39@norton.com,114726,601,Self-Employed,Medium,4/24/2020,1
119,Amanda Wolfe,37,"421 Sydney Ways, Gonzalezfurt, AR 55970",001-173-742-6271x357,christianscott@higgins.org,55216,538,Employed,Low,3/24/2020,1
120,Susan Jimenez,58,"81256 Eugene Extensions Apt. 381, Deannaberg, ME 01419",(385)658-0352,jbailey@gmail.com,49061,384,Unemployed,Low,4/24/2024,0
121,Samantha Harmon,47,"21968 White Fork, Erictown, CT 65686",420.930.8872x5452,nvega@gmail.com,37609,367,Unemployed,Medium,11/06/2019,0
122,Adrian Crane,21,"3738 Adrian Shore Suite 693, North Ariel, OH 59821",(918)468-9422,timothy41@gmail.com,134741,675,Self-Employed,High,11/27/2020,0
123,Megan Dixon,56,"723 Fuller Mount Apt. 238, Josefurt, CA 81665",277.757.8955,patricia83@gray.com,53253,516,Unemployed,Medium,8/18/2015,4
124,Vanessa Hoffman,69,"4009 Sanchez Road, East Angela, MT 74175",(272)229-9650x826,jasonholt@jones-hamilton.org,79299,781,Self-Employed,High,10/02/2017,5
125,Carrie Smith,68,"527 Carr Expressway Suite 681, South Kimberlymouth, HI 50639",(908)009-4522x7128,solomonchristopher@mejia.org,131267,477,Employed,Low,5/21/2016,3
126,Jessica Gonzalez,21,"1279 Cooley Parks Suite 691, Lake John, RI 26246",-326,jmay@ross-kelly.com,119251,401,Unemployed,High,06/08/2017,1
127,David Short Jr.,53,"9391 Evans Dam Apt. 190, Joshuamouth, AK 99401",844-395-8141,atkinserika@ewing.com,54147,387,Unemployed,Low,10/26/2018,5
128,Justin Turner,64,"1287 Paul Lakes, West Jasonburgh, MO 80653",728.802.5609x55647,andrea86@mitchell-rollins.com,95137,650,Employed,High,11/19/2023,3
129,Mitchell Hall,64,"5158 Murphy Rue, New Jasonshire, CT 32912",+1-896-164-4732x0431,sabrinagreene@gmail.com,34423,650,Employed,High,11/24/2024,1
130,Jordan Carter,29,"15356 David Meadow, Juliehaven, KS 31100",835-365-9412,michael68@yahoo.com,138104,607,Self-Employed,High,1/17/2023,0
131,Nathan Long,63,"5170 Jeffrey Estate, East Briannamouth, PA 11275",661.852.2733x265,danwallace@bowers.com,143627,722,Employed,High,11/15/2022,1
132,Robert Thompson,56,"18152 Stacy Islands Suite 127, South Brandonfort, VA 61492",(743)015-6515x58631,veronica94@hodge-moore.com,47683,671,Unemployed,Low,09/03/2016,1
133,Andrew Hamilton,46,"13209 Pamela Tunnel, North Roberto, AL 34993",335.808.1748x540,sydney27@gmail.com,111402,514,Unemployed,Medium,10/08/2015,1
134,Joshua Cabrera,27,"81028 Joshua Village, East Christopherside, GA 38030",+1-863-246-8476x2959,briannaharris@gmail.com,37334,484,Self-Employed,High,9/28/2019,1
135,Danielle Allen,44,"545 Guy Tunnel, Lewisfurt, NH 74513",084-154-2080x459,cameronmoore@torres-daniel.com,70397,590,Employed,Low,6/24/2016,1
136,Anthony Johnson,37,"USNV Reyes, FPO AE 75151",(573)174-6334,arthur68@barrett.org,113729,433,Employed,Medium,6/13/2018,1
137,Jody Marshall,18,"020 Edward Shoal, Port Abigail, WA 35071",+1-091-821-9092x60948,zjackson@gmail.com,98357,845,Unemployed,Medium,9/21/2018,4
138,Bryan Campbell,52,"01679 Leslie View, South Jimmyland, WA 89681",264.436.7904x39189,john87@hotmail.com,54577,368,Self-Employed,Medium,9/25/2022,4
139,Shannon Benson DVM,21,"007 John Mews, Amandafurt, HI 25949",8490470475,fitzgeraldsherri@white.net,139676,634,Employed,High,09/05/2016,3
140,Diane Crosby,49,"04017 Cassandra Trafficway, North Becky, NV 69833",(115)527-0433x16142,howardsuzanne@harris-mckinney.com,23276,522,Employed,Low,5/31/2024,4
141,Brian Cain,24,"7619 White Summit, East Ann, MA 91318",(880)656-7213x0838,sarah16@gmail.com,79046,365,Employed,Low,2/23/2015,0
142,Alex Singh,39,"965 Baker Camp, Medinaburgh, WY 65089",001-950-612-2565,bennettsteve@hotmail.com,21799,719,Self-Employed,High,8/25/2015,1
143,Cindy Daniel,66,"243 Adams Burgs Suite 023, South Christopherside, NH 05255",(460)000-5009,ncalhoun@smith.com,31356,530,Unemployed,Medium,9/14/2024,2
144,Brian Woods,18,"9611 Richard Estate, Delacruzshire, IA 06904",121.344.7954x349,erin40@hotmail.com,41445,720,Unemployed,High,5/30/2016,1
145,Andrea Edwards,58,"136 Kevin Terrace Apt. 888, Hoffmanland, NE 28404",141.517.5814,loridavis@perez.org,51776,373,Unemployed,High,3/31/2017,1
146,Karen Fisher,58,"311 Winters Pike, Millerfort, MI 97240",940-325-3130x770,qgreen@hotmail.com,127207,531,Employed,Low,10/22/2019,1
147,Charles Anderson,66,"3381 Brandi Crossing Suite 815, Port Kathleenfort, OK 54219",(482)896-5116x20841,james70@huber.com,96221,779,Employed,High,4/15/2016,4
148,Dana Flores,28,"USCGC Miller, FPO AA 51970",(955)988-5309x25145,rebecca84@fox.com,55220,368,Unemployed,Medium,09/04/2020,5
149,Billy Baker,20,"720 Brown Crossing Suite 306, Caitlintown, DC 70148",449-934-3440,petersongabrielle@smith.info,101563,365,Employed,High,07/02/2021,1
150,Lisa Gilbert,19,"92759 Atkinson Extension Suite 054, West Luis, OH 27510",187.512.7576x5352,clayanthony@yahoo.com,108780,615,Employed,Low,03/08/2023,1
151,Tara Mills,58,"96237 Jeffrey Skyway Apt. 113, Port Laurieburgh, CT 52276",828.762.7905,austin67@warner.com,37295,705,Employed,Medium,02/08/2018,1
152,Kevin Thompson,38,"27686 Spencer Stravenue Apt. 347, Johnview, DE 35012",(273)462-8009,hjackson@allen.com,45795,618,Unemployed,Low,05/03/2024,0
153,Joseph Hopkins,25,"8302 Michael Curve Apt. 759, East Samuelberg, SC 65957",587.972.3377,katrina07@morales.com,84940,766,Unemployed,Low,07/03/2021,3
154,Angela Oneill,63,"403 Johnson Curve, Marvinton, IL 96003",429-613-4037x5229,stevenhansen@yahoo.com,120229,815,Employed,Low,8/13/2015,1
155,Samantha Lee,61,"852 Christine Meadows Apt. 164, East Jillian, NJ 19286",245-426-8885x23332,larsondaniel@jones.com,95858,433,Employed,High,02/11/2022,0
156,Michael Hopkins,64,"USNV Mason, FPO AA 97002",(180)303-9151,sandrasmith@downs.biz,72769,719,Employed,Low,03/04/2016,4
157,Rachel Walker,20,"64715 Michael Avenue, Owensstad, KS 82724",001-344-231-7065,qmarshall@hurst-wallace.com,99059,513,Self-Employed,Medium,11/16/2021,5
158,Anthony Reese,56,"6148 Kathryn Ranch, South Charles, OH 13424",751-607-5594x78914,lmyers@gmail.com,103665,510,Employed,Low,4/28/2015,2
159,Ann Mooney,55,"9891 Jarvis Drive, New Danielleville, NE 71284",629.004.3248x558,murphysarah@smith.com,144202,464,Employed,High,1/23/2015,3
160,Christina Davis,38,"52360 Shannon Ports Apt. 466, Port Jillshire, AL 12517",(021)110-1111,tinawood@hotmail.com,80389,442,Employed,Low,10/06/2023,4
161,Russell Duran,55,"432 April Land Suite 115, Port Elizabethview, SC 18584",(005)036-5034,abrown@ruiz.com,23161,638,Self-Employed,Low,9/28/2017,2
162,Rick Herrera,70,"7745 Jesse Flat, South Pamela, MN 16821",639.114.0966x31053,zmcdonald@gmail.com,83936,355,Employed,High,12/27/2020,5
163,Daniel Moore,53,"2389 Morris Canyon, Khanborough, IL 96590",-7382,jeffrey04@olsen-ward.com,101185,670,Employed,Medium,09/09/2020,4
164,Jillian Taylor,27,"963 Reynolds Orchard, Moranberg, MO 46882",-4332,christinanelson@howell.info,63892,799,Self-Employed,High,07/09/2024,2
165,Michael Estes,55,"70296 Jesse Forges Apt. 217, Jacobton, NH 86507",8084820362,allisonmiranda@mason.net,127557,834,Employed,Medium,07/09/2020,2
166,Andrea Brown,32,"USS Boyd, FPO AA 91214",+1-145-578-5010x141,garrettwilliams@yahoo.com,25746,395,Self-Employed,Medium,7/26/2022,5
167,Cheryl Wright,24,"413 Traci Meadow Apt. 962, Mooreport, FL 61924",+1-541-125-1240x2180,melissa98@morrow.info,78392,531,Employed,High,03/08/2018,1
